Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
TrustID,"TrustID supplies identity document checking solutions.  Whether that be for assisting in the right to work process or to determine eligibility for services, TrustID has a long track record of working in the public sector with councils and NHS trusts across the country.",info@trustid.co.uk,0118 466 0822,Matt Green-Armytage
Trustify Ltd,"Trustify is a Managed Security Services Provider and Professional Services Consultancy that specialises in industry leading software solutions to Find, Fix and Secure businesses against cyber and information security risks.",trust365@trustify.com,+44 808 196 8365,Trust365 Sales & Support Desk
Trustmarque Solutions Limited,"Trustmarque is a leading technology provider for both public and private sector organisations. We have been at the heart of the rapidly evolving IT market for over 30 years serving more than 2000 customers including UK government and healthcare organisations, as well as high profile clients in the private sector.",tenders@trustmarque.com,07783 783623,Darren Moyes
Truststream Security Solutions,"Truststream is a provider of cyber security services. We work with UK organisations to help them optimise their cyber defences, achieve compliance and reduce the risk of financial and reputational loss. We provide best-of-breed cloud security services that are scalable and updated in real-time with the latest threat intelligence.",bryan.thomson@truststream.co.uk,07827 327320‬,Bryan Thomson
"Trustwave, SpiderLabs","Trustwave is a leading cybersecurity and managed security services provider that helps businesses fight cybercrime, protect data and reduce security risk. Offering a comprehensive portfolio of managed security services, consulting and professional services, and data protection technology.",steve.bird@trustwave.com,07719939171,Steve Bird
TruTac,"TruTac are experts in cloud based logistics and transport software, data and compliance. We're the UK’s largest independent tachograph analysis company. We design and deliver cloud software for HGV and PSV fleets of all sizes and sectors; we make managing compliance and data easier, saving time, money and adding value.",jemma.james@trutac.co.uk,02476690000,Jemma James
tScheme Limited,"tScheme serves organisations in the trust service provider sector, providing accreditation for services they supply to consumers and organisations.

tScheme is a not-for-profit organisation that aims to improve levels of trust in digital economies. We provide an independent means of establishing and testing the trust of services to recognised standards.",phil.flaxton@tscheme.org,08702417497,Phil Flaxton
TSCONSULTINGUK,"Provision of procurement, commercial and project management services.
Cloud based advice",tasneemshaikh1306@googlemail.com,+447951301435,tasneem shaikh
TSO - The Stationery Office,"TSO, part of Williams Lea Tag, provides transformational business and digital solutions to the wider public sector and manages complex services to no-fail standards. Our digital publishing solutions have won awards for innovation, while improving public services, supporting the Government's digital strategy and delivering substantial cost savings.",bidteam.emea@williamslea.com,020 7251 4571,Bid Team
T-Systems Limited,"With locations in more than 20 countries and around 38,000 employees (2019), T-Systems is one of the world's leading IT service providers and suppliers of digital services. As a subsidiary of Deutsche Telekom, T-Systems provides all important building blocks for innovative information technology and digitalization.",G-Cloud@t-systems.com,01908 651500,Andrew Edwards
TTEC (UK) SOLUTIONS LIMITED,"TTEC are a leading global customer experience technology and services company focused on design, implementation and delivery of transformative customer experiences for many of the world’s iconic and disruptive brands. We deliver outcome-based customer engagement solutions and design and build human centric, tech-enabled, insight-driven solutions for clients across the world.",wayne.kay@ttec.com,07967305068,Wayne Kay
TUNSTALL HEALTHCARE (UK) LIMITED,,bids@tunstall.com,01977 660238,Hayley Strobridge
Turnkey Consulting (UK) Limited,"Leading Risk Management consulting firm providing: 

SAP Security, GRC & Risk Management Solutions
Providers of SAP GRC as a cloud service
Enterprise Identity and Access Management (IAM) including Sailpoint, OneIdentity, CyberArk, MicroFocus
Access Risk Assessment
Business Risk Impact Assessment Services",katie.roberts@turnkeyconsulting.com,02072882578,Katie Roberts
Tussell Limited,"Tussell provides data and analytics on UK public sector spend, contracts and tenders.

We provide valuable insight that enables you to better understand purchasing behaviour in government, which can be used to monitor compliance, reduce supply chain risk and identify procurement improvement opportunities.",hollie.hodgson@tussell.com,020 8126 1887,Hollie Hodgson
TUXTEAM LTD,,matt.epton@tuxteam.co.uk,07800 976047,Matthew Epton
Twenty Seven Consulting Ltd,,caroline.gibson@twentysevenconsulting.co.uk,07721644052,Caroline Gibson
twentysix Limited,"twentysix is an award winning integrated digital and marketing company with offices in London and Leeds. We have a team of 150+ in-house digital specialists. 

Experts in digital strategy, complex web design and development, usability and UX, discovery, CMS, ecommerce, social media, content strategy, online marketing, analytics and SEO.",Lorna.Foott@twentysixdigital.com,0800 320 2626,Lorna Foott
Twin Technology,"Twin Technology is an IT Solutions provider, incorporated in 2006.  A mid-size value added reseller and MSP. We supply IT equipment and  a broad portfolio of cloud and other IT services. We have clients within the NHS, Schools, Colleges, Universities, HE, FE, various Government departments, SMB/SME, Corporate and Enterprise organisations.",sales@twintechnology.co.uk,01923 228820,Larry Rach
TyArya Ltd,"Supporting Government with technology and processes. Helping organisations achieve excellent outcomes from technology investments, existing or future. Our consultancy practise is built upon hands-on experience across diverse technology disciplines providing business with considered and thought out options including Cyber Security, CES+, Cloud, Office 365 Suitability, Iterative and Adaptive Cloud Transformation",pritesh@tyarya.com,0203 510 9454,Pritesh Raikundalia
Tyk Technologies Ltd,"Tyk software allows organisations to secure, measure and control access to their APIs. APIs are the connectors of the digital world, making it possible for different systems and companies to communicate; essential to everything from buying a ticket online, to getting your daily news feed",tamara@tyk.io,020 3409 1911,Tamara Evans
Tyler Technologies,"Tyler Technologies is the largest software company in the nation solely focused on providing technology to the public sector. Together, we are accelerating our shared vision: putting data at the heart of every program.",John.Wright2@tylertech.com,+447872994154,John Wright
